ID,Cluster,MDS_Dim1,MDS_Dim2,Dist,Velo,AM_Freq
0,0,0.37851327309837945,0.313532667890157,0.05,10,0
1,0,0.47282893007729765,0.2655739751349434,0.05,10,20
2,1,-0.04648462916700559,-0.5265026825072252,0.05,10,100
3,0,0.30494154453217065,0.46056335250980857,0.05,100,0
4,0,0.3754964082903228,0.05525751217916111,0.05,100,20
5,1,-0.027491272832663942,-0.6806172835299213,0.05,100,100
6,0,0.3948345248937415,-0.11953261799571474,0.05,1000,0
7,0,-0.07826678323967427,0.21851850780773668,0.05,1000,20
8,1,-0.18865679022359563,-0.4819976528609095,0.05,1000,100
9,0,0.17149594680900096,0.4034246400273911,4.0,10,0
10,0,0.6543490558270939,0.3945355254193645,4.0,10,20
11,1,-0.26872308579159077,-0.3779240049714248,4.0,10,100
12,0,-0.3449685150818268,0.7012717495879718,4.0,100,0
13,0,0.14840548233054987,0.1448623722330455,4.0,100,20
14,1,-0.396534660131207,-0.6862217403768631,4.0,100,100
15,1,-0.5810800242146109,-0.16910361233252158,4.0,1000,0
16,0,-0.5064369175887072,0.4474836417194492,4.0,1000,20
17,1,-0.4622224875876742,-0.36312434993444925,4.0,1000,100
